user_id,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Open_Prod,Close_Prod,Total_Rel_Chng,Total_Rel_Chng_Ratio,Open_Prod_Q1,Open_Prod_Q2,Open_Prod_Q3,Open_Prod_Q4,Close_Prod_Q1,Close_Prod_Q2,Close_Prod_Q3,Close_Prod_Q4,Contacts_Count_12_mon,Total_Trans_Ct_12_mon,Total_Buy_Amt,Total_Dep_Amt
708134283,Existing Customer,35,M,2,Uneducated,Married,Less than $40K,Blue,36,4,2,1,5,1.25,"",1,"",1,"",1,"","",3,85,91511,140525
708223383,Attrited Customer,47,F,3,High School,Married,Unknown,Blue,39,6,10,3,13,2.17,3,6,"",1,1,1,1,"",13,105,129886,143833
709150608,Existing Customer,30,F,0,Unknown,Married,Less than $40K,Blue,19,5,3,7,1,0.2,1,1,"",1,1,3,2,1,10,88,120259,107380
709814883,Existing Customer,45,F,2,High School,Single,Less than $40K,Platinum,36,1,5,5,1,1.0,1,"",2,2,4,"","",1,10,81,82427,131794
709957158,Existing Customer,48,M,4,High School,Married,$40K - $60K,Blue,40,5,5,1,9,1.8,1,2,"",2,"",1,"","",6,101,135484,123645
710562258,Existing Customer,44,M,1,Graduate,Married,$80K - $120K,Blue,33,5,2,8,-1,-0.2,"",1,1,"",1,2,3,2,10,94,132991,117589
711813258,Existing Customer,56,M,2,College,Single,$60K - $80K,Gold,43,2,2,4,0,0.0,1,1,"","",1,2,"",1,6,92,122106,129783
711838008,Attrited Customer,37,M,3,Graduate,Married,$60K - $80K,Blue,28,2,6,5,3,1.5,3,"",3,"","","",2,3,11,100,132362,112838
712855683,Existing Customer,50,F,2,Post-Graduate,Married,Less than $40K,Blue,36,1,4,5,0,0.0,"",2,"",2,"","",3,2,9,92,108815,102475
714019083,Existing Customer,40,F,1,Graduate,Married,Less than $40K,Blue,30,1,5,3,3,3.0,1,2,1,1,"","",3,"",8,108,142707,115201
714405183,Existing Customer,47,F,3,Graduate,Married,Less than $40K,Blue,36,4,3,5,2,0.5,1,1,1,"",2,"",1,2,8,106,121746,151823
